network with nodes 84504, edges 178238, n_valid_edges 177830, avg_distance 2.06769, avg_speed_min 32.3529, avg_speed_max 57.8757, avg_abs_grade 0.690349
id,lat,lon,ele,label
412,62.1703,-150.126,106.36,I-A4@SunCrkCir
413,62.1736,-150.167,107.08,I-A4@SusRivRd
414,62.1923,-150.213,91.685,I-A4@+X11
415,62.2385,-150.253,110.4,I-A4@+X12
416,62.3073,-150.236,112.23,I-A4@DevDr
417,62.3163,-150.234,114,I-A4@PetRd
418,62.3772,-150.268,150.56,I-A4@+X13
419,62.4078,-150.258,161.34,I-A4@+X13A
420,62.452,-150.273,181.82,I-A4@+X13B
421,62.4982,-150.272,208.49,I-A4@+X14
422,62.5331,-150.235,213.63,I-A4@+X15
423,62.5555,-150.244,200.23,I-A4@+X15A
424,62.5665,-150.231,174.92,I-A4@MtMcKDr
425,62.5924,-150.238,198.32,I-A4@DenVie
426,62.5989,-150.238,212.58,I-A4@+X15C
427,62.6091,-150.223,203.86,I-A4@+X15D
428,62.6251,-150.227,174.94,I-A4@TroCrkCamp
429,62.6306,-150.229,192.73,I-A4@+X15DA
430,62.6445,-150.221,213.03,I-A4@+X15E
431,62.6851,-150.244,228.45,I-A4@+X16
432,62.6981,-150.234,234.4,I-A4@+X316773
433,62.7129,-150.204,206.82,I-A4@ByeCrkLan
434,62.72,-150.198,212.7,I-A4@+X16A
435,62.7513,-150.119,270.01,I-A4@VetMemLp
436,62.8297,-149.901,425.94,I-A4@ErmHillTr
437,62.8615,-149.873,361.47,I-A4@+X18
438,62.8769,-149.833,377.81,I-A4@+X18A
439,62.8798,-149.795,370.61,I-A4@+X18B
440,62.886,-149.782,403.73,I-A4@DenViewCamp
441,62.8947,-149.739,412.86,I-A4@+X19
442,62.9492,-149.666,488.67,I-A4@+X19A
443,62.9614,-149.638,540.14,I-A4@+X19B
444,62.9895,-149.625,541.31,I-A4@+X19C
445,63.0153,-149.59,567.2,I-A4@+HurCrkAcc
446,63.0454,-149.58,521.68,I-A4@+X19E
447,63.0647,-149.543,471.59,I-A4@+HonCrkAcc
448,63.0945,-149.505,581.7,I-A4@ComTowRd
449,63.1134,-149.48,541.16,I-A4@+X19F
450,63.1434,-149.422,538,I-A4@+X19FA
451,63.1718,-149.385,630.44,I-A4@ColBullRd
452,63.1966,-149.348,637.8,I-A4@+X433220
453,63.2462,-149.248,665.55,I-A4@+X19G
454,63.2533,-149.258,675.63,I-A4@+X19H
