id,lat,lon,ele,label
3721,32.6913,-96.6321,138.35,I-20@479/US175
3723,32.7025,-96.605,140.17,I-20@481
3724,32.7041,-96.586,152.88,I-20@482
3725,32.7036,-96.5686,141.46,I-20@483
3731,32.7143,-96.3095,149.05,I-20@499A
3732,32.7125,-96.3004,143.16,I-20@499B
3747,32.5594,-95.807,149.12,I-20@530
3748,32.5425,-95.757,176.54,I-20@533
3754,32.4698,-95.4524,166.17,I-20@552
3755,32.4687,-95.418,146.3,I-20@554
3756,32.4683,-95.3869,155.46,I-20@556/US69
3757,32.4682,-95.3681,156,I-20@557
3758,32.4581,-95.3105,123.32,I-20@560
3759,32.453,-95.2834,154.24,I-20@562
3760,32.4521,-95.2309,116.78,I-20@565
3762,32.4409,-95.1333,133.7,I-20@571A/US271
3766,32.4339,-94.9433,130.1,I-20@582
3767,32.4327,-94.9253,108.38,I-20@583
3768,32.4327,-94.8619,104.19,I-20@587
3769,32.4349,-94.8274,86.528,I-20@589/US259
3770,32.4339,-94.7884,106.94,I-20@591/US259
